"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"LBIO","Lion Biotechnologies, Inc.","6.49","310442231.66","n/a","United States","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/lbio",
"LIOX","Lionbridge Technologies, Inc.","5.28","340618307.04","n/a","United States","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/liox",
"LPCN","Lipocine Inc.","12.24","223422301.44","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/lpcn",
"LQDT","Liquidity Services, Inc.","6.8","204178316.4","n/a","United States","2006","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/lqdt",
"LAD","Lithia Motors, Inc.","118.38","3108217242.6","n/a","United States","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/lad",
"LFUS","Littelfuse, Inc.","109.89","2450443923.18","n/a","United States","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/lfus",
"LYV","Live Nation Entertainment, Inc.","25.76","5212545144.8","n/a","United States","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/lyv",
"LOB","Live Oak Bancshares, Inc.","14.55","497186755.05","n/a","United States","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/lob",
"LIVE","Live Ventures Incorporated","1.3","21971765.4","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/live",
"LPSN","LivePerson, Inc.","7.36","421791215.04","n/a","United States","2000","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/lpsn",
"LKQ","LKQ Corporation","29.48","9005777366.52","n/a","United States","n/a","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/lkq",
"LMFAU","LM Funding America, Inc.","10","0","n/a","United States","2015","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/lmfau",
"LMIA","LMI Aerospace, Inc.","10.36","137341711.92","n/a","United States","1998","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/lmia",
"SCD","LMP Capital and Income Fund Inc.","12.61","226769803.91","n/a","United States","2004","n/a","n/a","http://www.nasdaq.com/symbol/scd",
"TLI","LMP Corporate Loan Fund Inc","9.9","98365578.3","n/a","United States","1998","n/a","n/a","http://www.nasdaq.com/symbol/tli",
"RIT","LMP Real Estate Income Fund Inc","12.67","144957761.41","n/a","United States","2002","n/a","n/a","http://www.nasdaq.com/symbol/rit",
"LMT","Lockheed Martin Corporation","224","68834190656","n/a","United States","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/lmt",
"L","Loews Corporation","37.86","13415411517.48","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/l",
"LOGI","Logitech International S.A.","15.29","2482808196.33","n/a","United States","1997","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/logi",
"LOGM","LogMein, Inc.","71.94","1802903375.46","n/a","United States","2009","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/logm",
"LOJN","LoJack Corporation","2.96","57105110.32","n/a","United States","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/lojn",
"CNCR","Loncar Cancer Immunotherapy ETF","29.44","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cncr",
"LORL","Loral Space and Communications, Inc.","43.44","1343718703.44","n/a","United States","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/lorl",
"LPX","Louisiana-Pacific Corporation","17.73","2532896293.23","n/a","United States","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/lpx",
"LOW","Lowe&#39;s Companies, Inc.","73.39","67902816844.5","n/a","United States","n/a","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/low",
"LOXO","Loxo Oncology, Inc.","31.5","525654234","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/loxo",
"LPTN","Lpath, Inc.","0.1942","6293375.5082","n/a","United States","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/lptn",
"LPLA","LPL Financial Holdings Inc.","44.535","4230596579.985","n/a","United States","2010","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/lpla",
"LRAD","LRAD Corporation","1.58","52327388","n/a","United States","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/lrad",
"LXU","Lsb Industries Inc.","6.61","150782441.82","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/lxu",
"LYTS","LSI Industries Inc.","11.97","294015830.22","n/a","United States","1985","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/lyts",
"LTC","LTC Properties, Inc.","41.4","1472618493","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ltc",
"LUB","Luby&#39;s, Inc.","4.96","142113771.2","n/a","United States","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/lub",
"LEI","Lucas Energy, Inc.","2.61","3795689.07","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lei",
"LL","Lumber Liquidators Holdings, Inc","13.85","375161113.25","n/a","United States","2007","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/ll",
"LITE","Lumentum Holdings Inc.","18.24","1074656148.48","n/a","United States","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/lite",
"LMNX","Luminex Corporation","21.3","917214636","n/a","United States","2000","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/lmnx",
"LMOS","Lumos Networks Corp.","11.48","263692316.72","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/lmos",
"LUNA","Luna Innovations Incorporated","1.11","30685763.52","n/a","United States","2006","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/luna",
"LDL","Lydall, Inc.","35.87","611286855.1","n/a","United States","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/ldl",
"WLH","Lyon William Homes","16.27","511956131.55","n/a","United States","2013","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/wlh",
"MBTF","M B T Financial Corp","6.39","145467877.14","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mbtf",
"MTB","M&T Bank Corporation","125.43","16718536854.54","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mtb",
"MTB.WS","M&T Bank Corporation","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtb.ws",
"MTB^","M&T Bank Corporation","1030","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtb^",
"MTB^C","M&T Bank Corporation","1025","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtb^c",
"MDC","M.D.C. Holdings, Inc.","26.35","1288157272.4","n/a","United States","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/mdc",
"MTSI","M/A-COM Technology Solutions Holdings, Inc.","35.75","1892927894","n/a","United States","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/mtsi",
"MHO","M/I Homes, Inc.","22.55","555831883.2","n/a","United States","1993","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/mho",
"MHO^A","M/I Homes, Inc.","25.71","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mho^a",
"MCBC","Macatawa Bank Corporation","5.55","187960678.95","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mcbc",
"MAC","Macerich Company (The)","79.79","12632967901.11","n/a","United States","1994","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mac",
"CLI","Mack-Cali Realty Corporation","23.6","2107729546.4","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cli",
"MFNC","Mackinac Financial Corporation","11.45","71191749","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mfnc",
"MGU","Macquarie Global Infrastructure Total Return Fund Inc.","20.17","251485469.81","n/a","United States","2005","n/a","n/a","http://www.nasdaq.com/symbol/mgu",
"MIC","Macquarie Infrastructure Company","75.74","6048154987.28","n/a","United States","2004","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/mic",
"MFD","Macquarie/First Trust Global","12.86","109738045.1","n/a","United States","2004","n/a","n/a","http://www.nasdaq.com/symbol/mfd",
"MGNX","MacroGenics, Inc.","32.5","1115151472.5","n/a","United States","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/mgnx",
"M","Macy&#39;s Inc","38.54","12756083548.18","n/a","United States","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/m",
"MCZ","Mad Catz Interactive Inc","0.4113","30218034.5523","n/a","United States","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/mcz",
"MCN","Madison Covered Call & Equity Strategy Fund","7.64","0","n/a","United States","2004","n/a","n/a","http://www.nasdaq.com/symbol/mcn",
"MSP","Madison Strategic Sector Premium Fund","11.08","64245064.28","n/a","United States","2005","n/a","n/a","http://www.nasdaq.com/symbol/msp",
"MGLN","Magellan Health, Inc.","51.14","1307891385.36","n/a","United States","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/mgln",
"MMP","Magellan Midstream Partners L.P.","62.95","14316545198.65","n/a","United States","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/mmp",
"MPET","Magellan Petroleum Corporation","0.53","3022341.96","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mpet",
"MNGA","MagneGas Corporation","1.11","45749263.83","n/a","United States","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mnga",
